total_items=34607 translated_items=33989 total_chars=202644 unique_chars=2022
 count  char  codepoint
     3  妄  U+5984
     3  媲  U+5AB2
     3  季  U+5B63
     3  宰  U+5BB0
     3  富  U+5BCC
     3  尺  U+5C3A
     3  屏  U+5C4F
     3  屡  U+5C61
     3  崩  U+5D29
     3  巾  U+5DFE
     3  帐  U+5E10
     3  帕  U+5E15
     3  康  U+5EB7
     3  怒  U+6012
     3  恋  U+604B
     3  愁  U+6101
     3  愚  U+611A
     3  扁  U+6241
     3  抠  U+62A0
     3  拽  U+62FD
     3  掘  U+6398
     3  援  U+63F4
     3  操  U+64CD
     3  政  U+653F
     3  枪  U+67AA
     3  树  U+6811
     3  栖  U+6816
     3  模  U+6A21
     3  歪  U+6B6A
     3  歹  U+6B79
     3  殿  U+6BBF
     3  母  U+6BCD
     3  毒  U+6BD2
     3  毛  U+6BDB
     3  沿  U+6CBF
     3  泉  U+6CC9
     3  泪  U+6CEA
     3  泻  U+6CFB
     3  涌  U+6D8C
     3  湿  U+6E7F
     3  灵  U+7075
     3  炫  U+70AB
     3  烂  U+70C2
     3  烟  U+70DF
     3  烫  U+70EB
     3  焦  U+7126
     3  爪  U+722A
     3  牙  U+7259
     3  狭  U+72ED
     3  环  U+73AF
     3  珠  U+73E0
     3  甜  U+751C
     3  痕  U+75D5
     3  眉  U+7709
     3  瞄  U+7784
     3  矢  U+77E2
     3  砍  U+780D
     3  碌  U+788C
     3  碎  U+788E
     3  祈  U+7948
     3  祥  U+7965
     3  秃  U+79C3
     3  穷  U+7A77
     3  章  U+7AE0
     3  端  U+7AEF
     3  笔  U+7B14
     3  笼  U+7B3C
     3  筋  U+7B4B
     3  篷  U+7BF7
     3  纪  U+7EAA
     3  绫  U+7EEB
     3  网  U+7F51
     3  罩  U+7F69
     3  翅  U+7FC5
     3  耳  U+8033
     3  耶  U+8036
     3  肃  U+8083
     3  育  U+80B2
     3  膛  U+819B
     3  良  U+826F
     3  苛  U+82DB
     3  范  U+8303
     3  茶  U+8336
     3  莽  U+83BD
     3  虚  U+865A
     3  袋  U+888B
     3  谱  U+8C31
     3  财  U+8D22
     3  货  U+8D27
     3  贪  U+8D2A
     3  赤  U+8D64
     3  赴  U+8D74
     3  跨  U+8DE8
     3  踏  U+8E0F
     3  躺  U+8EBA
     3  轨  U+8F68
     3  辩  U+8FA9
     3  遥  U+9065
     3  销  U+9500
     3  锅  U+9505
     3  锵  U+9535
     3  阱  U+9631
     3  雪  U+96EA
     3  零  U+96F6
     3  霉  U+9709
     3  韧  U+97E7
     3  颊  U+988A
     3  骨  U+9AA8
     3  鲁  U+9C81
     3  鸣  U+9E23
     3  Ａ  U+FF21
     3  Ｐ  U+FF30
     4  "  U+0022
     4  丧  U+4E27
     4  仍  U+4ECD
     4  众  U+4F17
     4  低  U+4F4E
     4  侦  U+4FA6
     4  凯  U+51EF
     4  则  U+5219
     4  剔  U+5254
     4  印  U+5370
     4  吞  U+541E
     4  含  U+542B
     4  咯  U+54AF
     4  咱  U+54B1
     4  哨  U+54E8
     4  嘞  U+561E
     4  噗  U+5657
     4  嚯  U+56AF
     4  嚷  U+56B7
     4  圾  U+573E
     4  垃  U+5783
     4  墙  U+5899
     4  奔  U+5954
     4  奖  U+5956
     4  嫌  U+5ACC
     4  孽  U+5B7D
     4  封  U+5C01
     4  尊  U+5C0A
     4  岂  U+5C82
     4  巨  U+5DE8
     4  床  U+5E8A
     4  忆  U+5FC6
     4  恒  U+6052
     4  惕  U+60D5
     4  惹  U+60F9
     4  慌  U+614C
     4  拦  U+62E6
     4  挨  U+6328
     4  搬  U+642C
     4  敏  U+654F
     4  敲  U+6572
     4  晓  U+6653
     4  晰  U+6670
     4  朝  U+671D
     4  李  U+674E
     4  材  U+6750
     4  栋  U+680B
     4  榜  U+699C
     4  洗  U+6D17
     4  洽  U+6D3D
     4  涉  U+6D89
     4  溜  U+6E9C
     4  漉  U+6F09
     4  灾  U+707E
     4  燃  U+71C3
     4  爬  U+722C
     4  牛  U+725B
     4  狠  U+72E0
     4  球  U+7403
     4  瓜  U+74DC
     4  甚  U+751A
     4  疲  U+75B2
     4  睁  U+7741
     4  睦  U+7766
     4  瞧  U+77A7
     4  祸  U+7978
     4  秋  U+79CB
     4  粗  U+7C97
     4  糕  U+7CD5
     4  织  U+7EC7
     4  缺  U+7F3A
     4  肉  U+8089
     4  胃  U+80C3
     4  脆  U+8106
     4  臭  U+81ED
     4  补  U+8865
     4  袒  U+8892
     4  裂  U+88C2
     4  触  U+89E6
     4  词  U+8BCD
     4  诚  U+8BDA
     4  谷  U+8C37
     4  距  U+8DDD
     4  蹭  U+8E6D
     4  违  U+8FDD
     4  迹  U+8FF9
     4  逞  U+901E
     4  速  U+901F
     4  遭  U+906D
     4  邀  U+9080
     4  酷  U+9177
     4  钉  U+9489
     4  钻  U+94BB
     4  铭  U+94ED
     4  闪  U+95EA
     4  防  U+9632
     4  降  U+964D
     4  陷  U+9677
     4  顿  U+987F
     4  飘  U+98D8
     4  餐  U+9910
     4  饼  U+997C
     4  鲜  U+9C9C
     4  鼻  U+9F3B
     4  Ｋ  U+FF2B
     4  Ｏ  U+FF2F
     5  二  U+4E8C
     5  侮  U+4FAE
     5  公  U+516C
     5  励  U+52B1
     5  午  U+5348
     5  卖  U+5356
     5  卫  U+536B
     5  历  U+5386
     5  厮  U+53AE
     5  古  U+53E4
     5  吊  U+540A
     5  嗨  U+55E8
     5  固  U+56FA
     5  坟  U+575F
     5  墓  U+5893
     5  妖  U+5996
     5  帖  U+5E16
     5  幻  U+5E7B
     5  戒  U+6212
     5  投  U+6295
     5  振  U+632F
     5  挽  U+633D
     5  摸  U+6478
     5  敬  U+656C
     5  旅  U+65C5
     5  朗  U+6717
     5  椅  U+6905
     5  樱  U+6A31
     5  殊  U+6B8A
     5  泼  U+6CFC
     5  爽  U+723D
     5  牌  U+724C
     5  班  U+73ED
     5  番  U+756A
     5  盛  U+76DB
     5  盾  U+76FE
     5  积  U+79EF
     5  绍  U+7ECD
     5  绕  U+7ED5
     5  绿  U+7EFF
     5  肩  U+80A9
     5  芒  U+8292
     5  荣  U+8363
     5  蔬  U+852C
     5  衷  U+8877
     5  购  U+8D2D
     5  赘  U+8D58
     5  蹈  U+8E48
     5  轮  U+8F6E
     5  辱  U+8FB1
     5  透  U+900F
     5  遍  U+904D
     5  酸  U+9178
     5  闯  U+95EF
     5  阴  U+9634
     5  颗  U+9897
     5  香  U+9999
     5  驱  U+9A71
     5  骄  U+9A84
     5  骚  U+9A9A
     5  龄  U+9F84
     6  ・  U+30FB
     6  产  U+4EA7
     6  仿  U+4EFF
     6  优  U+4F18
     6  佛  U+4F5B
     6  例  U+4F8B
     6  侍  U+4F8D
     6  傲  U+50B2
     6  元  U+5143
     6  充  U+5145
     6  判  U+5224
     6  千  U+5343
     6  压  U+538B
     6  叛  U+53DB
     6  唯  U+552F
     6  境  U+5883
     6  宽  U+5BBD
     6  寄  U+5BC4
     6  屋  U+5C4B
     6  崇  U+5D07
     6  技  U+6280
     6  抢  U+62A2
     6  抵  U+62B5
     6  挥  U+6325
     6  掌  U+638C
     6  措  U+63AA
     6  插  U+63D2
     6  握  U+63E1
     6  撑  U+6491
     6  文  U+6587
     6  景  U+666F
     6  板  U+677F
     6  柴  U+67F4
     6  标  U+6807
     6  欠  U+6B20
     6  浪  U+6D6A
     6  渴  U+6E34
     6  漫  U+6F2B
     6  猾  U+733E
     6  眠  U+7720
     6  矩  U+77E9
     6  研  U+7814
     6  础  U+7840
     6  税  U+7A0E
     6  粹  U+7CB9
     6  红  U+7EA2
     6  缠  U+7F20
     6  翻  U+7FFB
     6  脏  U+810F
     6  舍  U+820D
     6  营  U+8425
     6  虫  U+866B
     6  融  U+878D
     6  讲  U+8BB2
     6  讶  U+8BB6
     6  豪  U+8C6A
     6  软  U+8F6F
     6  阳  U+9633
     6  顶  U+9876
     6  验  U+9A8C
     6  鸟  U+9E1F
     6  Ｓ  U+FF33
     7  业  U+4E1A
     7  乐  U+4E50
     7  军  U+519B
     7  刀  U+5200
     7  吹  U+5439
     7  员  U+5458
     7  咿  U+54BF
     7  啧  U+5567
     7  堂  U+5802
     7  增  U+589E
     7  夸  U+5938
     7  奉  U+5949
     7  妨  U+59A8
     7  孢  U+5B62
     7  寸  U+5BF8
     7  幕  U+5E55
     7  悄  U+6084
     7  扛  U+625B
     7  控  U+63A7
     7  推  U+63A8
     7  揍  U+63CD
     7  显  U+663E
     7  污  U+6C61
     7  沼  U+6CBC
     7  渐  U+6E10
     7  烈  U+70C8
     7  狡  U+72E1
     7  监  U+76D1
     7  盘  U+76D8
     7  磨  U+78E8
     7  示  U+793A
     7  私  U+79C1
     7  符  U+7B26
     7  素  U+7D20
     7  纠  U+7EA0
     7  胸  U+80F8
     7  脚  U+811A
     7  膀  U+8180
     7  覆  U+8986
     7  账  U+8D26
     7  贼  U+8D3C
     7  赚  U+8D5A
     7  车  U+8F66
     7  锐  U+9510
     7  键  U+952E
     7  际  U+9645
     7  雄  U+96C4
     8  万  U+4E07
     8  临  U+4E34
     8  丽  U+4E3D
     8  仔  U+4ED4
     8  允  U+5141
     8  净  U+51C0
     8  叹  U+53F9
     8  呐  U+5450
     8  咒  U+5492
     8  响  U+54CD
     8  啥  U+5565
     8  喊  U+558A
     8  嘎  U+560E
     8  噜  U+565C
     8  园  U+56ED
     8  块  U+5757
     8  奏  U+594F
     8  妥  U+59A5
     8  峰  U+5CF0
     8  帅  U+5E05
     8  弗  U+5F17
     8  慕  U+6155
     8  拒  U+62D2
     8  攻  U+653B
     8  残  U+6B8B
     8  段  U+6BB5
     8  泣  U+6CE3
     8  烧  U+70E7
     8  爆  U+7206
     8  爸  U+7238
     8  猜  U+731C
     8  疗  U+7597
     8  秘  U+79D8
     8  稀  U+7A00
     8  筑  U+7B51
     8  糊  U+7CCA
     8  统  U+7EDF
     8  羡  U+7FA1
     8  耐  U+8010
     8  肆  U+8086
     8  胁  U+80C1
     8  节  U+8282
     8  菇  U+83C7
     8  蘑  U+8611
     8  蠢  U+8822
     8  血  U+8840
     8  赌  U+8D4C
     8  辙  U+8F99
     8  附  U+9644
     8  鼓  U+9F13
     9  专  U+4E13
     9  典  U+5178
     9  冒  U+5192
     9  医  U+533B
     9  南  U+5357
     9  吼  U+543C
     9  呛  U+545B
     9  善  U+5584
     9  囚  U+56DA
     9  怨  U+6028
     9  慢  U+6162
     9  懦  U+61E6
     9  折  U+6298
     9  拾  U+62FE
     9  搭  U+642D
     9  摇  U+6447
     9  晃  U+6643
     9  杰  U+6770
     9  染  U+67D3
     9  欲  U+6B32
     9  源  U+6E90
     9  潜  U+6F5C
     9  盗  U+76D7
     9  禁  U+7981
     9  稳  U+7A33
     9  级  U+7EA7
     9  绘  U+7ED8
     9  罗  U+7F57
     9  联  U+8054
     9  胆  U+80C6
     9  腾  U+817E
     9  英  U+82F1
     9  茫  U+832B
     9  获  U+83B7
     9  观  U+89C2
     9  规  U+89C4
     9  质  U+8D28
     9  逐  U+9010
     9  逼  U+903C
     9  闷  U+95F7
     9  闻  U+95FB
     9  阵  U+9635
     9  限  U+9650
     9  飞  U+98DE
     9  黄  U+9EC4
    10  咕  U+5495
    10  奋  U+594B
    10  广  U+5E7F
    10  形  U+5F62
    10  悠  U+60A0
    10  扫  U+626B
    10  排  U+6392
    10  摆  U+6446
    10  支  U+652F
    10  权  U+6743
    10  游  U+6E38
    10  炸  U+70B8
    10  炼  U+70BC
    10  牵  U+7275
    10  疼  U+75BC
    10  瞬  U+77AC
    10  砸  U+7838
    10  绪  U+7EEA
    10  缔  U+7F14
    10  致  U+81F4
    10  设  U+8BBE
    10  貌  U+8C8C
    10  适  U+9002
    10  饿  U+997F
    11  ·  U+00B7
    11  严  U+4E25
    11  倾  U+503E
    11  假  U+5047
    11  兵  U+5175
    11  养  U+517B
    11  初  U+521D
    11  劳  U+52B3
    11  勒  U+52D2
    11  化  U+5316
    11  北  U+5317
    11  卑  U+5351
    11  图  U+56FE
    11  型  U+578B
    11  宿  U+5BBF
    11  寂  U+5BC2
    11  密  U+5BC6
    11  寞  U+5BDE
    11  导  U+5BFC
    11  尝  U+5C1D
    11  建  U+5EFA
    11  归  U+5F52
    11  怜  U+601C
    11  悉  U+6089
    11  惑  U+60D1
    11  愧  U+6127
    11  憾  U+61BE
    11  扔  U+6254
    11  效  U+6548
    11  未  U+672A
    11  极  U+6781
    11  棒  U+68D2
    11  海  U+6D77
    11  省  U+7701
    11  社  U+793E
    11  谋  U+8C0B
    11  鄙  U+9119
    11  醉  U+9189
    11  铁  U+94C1
    11  闭  U+95ED
    11  队  U+961F
    11  陌  U+964C
    12  冲  U+51B2
    12  凶  U+51F6
    12  刺  U+523A
    12  副  U+526F
    12  势  U+52BF
    12  参  U+53C2
    12  叔  U+53D4
    12  吸  U+5438
    12  嘻  U+563B
    12  四  U+56DB
    12  威  U+5A01
    12  废  U+5E9F
    12  徒  U+5F92
    12  志  U+5FD7
    12  恢  U+6062
    12  扯  U+626F
    12  旁  U+65C1
    12  暂  U+6682
    12  曲  U+66F2
    12  毫  U+6BEB
    12  永  U+6C38
    12  硬  U+786C
    12  碰  U+78B0
    12  穿  U+7A7F
    12  繁  U+7E41
    12  纯  U+7EAF
    12  耀  U+8000
    12  肚  U+809A
    12  藏  U+85CF
    12  趁  U+8D81
    12  趟  U+8D9F
    12  踪  U+8E2A
    12  躲  U+8EB2
    13  依  U+4F9D
    13  写  U+5199
    13  划  U+5212
    13  勉  U+52C9
    13  区  U+533A
    13  半  U+534A
    13  咳  U+54B3
    13  啾  U+557E
    13  国  U+56FD
    13  坐  U+5750
    13  孤  U+5B64
    13  引  U+5F15
    13  彻  U+5F7B
    13  急  U+6025
    13  抗  U+6297
    13  昏  U+660F
    13  浑  U+6D51
    13  犹  U+72B9
    13  狂  U+72C2
    13  聚  U+805A
    13  脑  U+8111
    13  若  U+82E5
    13  计  U+8BA1
    13  豫  U+8C6B
    13  赖  U+8D56
    13  迟  U+8FDF
    13  迫  U+8FEB
    13  馆  U+9986
    14  亡  U+4EA1
    14  代  U+4EE3
    14  伽  U+4F3D
    14  协  U+534F
    14  娘  U+5A18
    14  山  U+5C71
    14  念  U+5FF5
    14  态  U+6001
    14  恐  U+6050
    14  悔  U+6094
    14  悟  U+609F
    14  招  U+62DB
    14  挑  U+6311
    14  族  U+65CF
    14  替  U+66FF
    14  滚  U+6EDA
    14  续  U+7EED
    14  耍  U+800D
    14  胜  U+80DC
    14  舒  U+8212
    14  苍  U+82CD
    14  警  U+8B66
    14  避  U+907F
    14  采  U+91C7
    14  食  U+98DF
    14  齐  U+9F50
    15  创  U+521B
    15  务  U+52A1
    15  另  U+53E6
    15  扎  U+624E
    15  抛  U+629B
    15  撒  U+6492
    15  月  U+6708
    15  氏  U+6C0F
    15  洞  U+6D1E
    15  演  U+6F14
    15  激  U+6FC0
    15  猫  U+732B
    15  率  U+7387
    15  睛  U+775B
    15  继  U+7EE7
    15  般  U+822C
    15  菜  U+83DC
    15  训  U+8BAD
    15  超  U+8D85
    15  逛  U+901B
    15  遗  U+9057
    15  配  U+914D
    16  争  U+4E89
    16  令  U+4EE4
    16  余  U+4F59
    16  免  U+514D
    16  周  U+5468
    16  夜  U+591C
    16  妙  U+5999
    16  姓  U+59D3
    16  巧  U+5DE7
    16  惜  U+60DC
    16  执  U+6267
    16  撤  U+64A4
    16  歇  U+6B47
    16  河  U+6CB3
    16  状  U+72B6
    16  甘  U+7518
    16  祭  U+796D
    16  装  U+88C5
    16  详  U+8BE6
    16  遵  U+9075
    16  饶  U+9976
    17  书  U+4E66
